,label
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,1
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,0
722,1
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,0
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,1
811,1
812,0
813,0
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,1
849,0
850,1
851,0
852,0
853,0
854,0
855,0
856,1
857,0
858,0
859,0
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,0
868,0
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,0
878,1
879,0
880,0
881,0
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,1
913,0
914,0
915,0
916,1
917,1
918,0
919,0
920,0
921,1
922,0
923,1
924,0
925,1
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,1
964,1
965,0
966,0
967,1
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,1
976,1
977,0
978,1
979,0
980,1
981,1
982,1
983,1
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,1
992,0
993,0
994,0
995,0
996,1
997,0
998,1
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,1
1063,1
1064,0
1065,0
1066,1
1067,1
1068,1
1069,0
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,0
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,0
1109,1
1110,0
1111,1
1112,1
1113,1
1114,0
1115,0
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,0
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,1
1200,1
1201,1
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,0
1221,1
1222,0
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,1
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,1
1247,0
1248,1
1249,0
1250,1
1251,0
1252,1
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,1
1261,1
1262,1
1263,1
1264,0
1265,1
1266,1
1267,1
1268,0
1269,1
1270,0
1271,0
1272,0
1273,0
1274,1
1275,0
1276,1
1277,1
1278,1
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,0
1295,1
1296,1
1297,0
1298,0
1299,0
1300,1
1301,1
1302,0
1303,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,0
1310,0
1311,1
1312,1
1313,0
1314,0
1315,0
1316,0
1317,1
1318,0
1319,0
1320,1
1321,0
1322,0
1323,1
1324,1
1325,1
1326,0
1327,1
1328,1
1329,1
1330,0
1331,0
1332,1
1333,0
1334,1
1335,0
1336,0
1337,1
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,1
1346,0
1347,1
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,1
1355,0
1356,1
1357,0
1358,0
1359,0
1360,1
1361,0
1362,1
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,1
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,0
1378,0
1379,1
1380,0
1381,0
1382,0
1383,1
1384,1
1385,0
1386,0
1387,0
1388,0
1389,1
1390,1
1391,1
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,1
1399,0
1400,1
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,1
1426,1
1427,0
1428,0
1429,0
1430,1
1431,0
1432,1
1433,0
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,1
1445,0
1446,1
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,1
1457,0
1458,0
1459,0
1460,0
1461,1
1462,0
1463,0
1464,0
1465,1
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,1
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,1
1491,0
1492,1
1493,0
1494,1
1495,0
1496,0
1497,1
1498,1
1499,1
1500,0
1501,0
1502,0
1503,1
1504,0
1505,1
1506,0
1507,1
1508,1
1509,0
1510,0
1511,1
1512,0
1513,1
1514,0
1515,0
1516,0
1517,0
1518,1
1519,0
1520,0
1521,0
1522,1
1523,0
1524,0
1525,0
1526,1
1527,1
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,1
1539,0
1540,1
1541,0
1542,0
1543,0
1544,0
1545,0
1546,1
1547,1
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,1
1562,1
1563,1
1564,0
1565,0
1566,0
1567,1
1568,0
1569,1
1570,0
1571,0
1572,0
1573,0
1574,0
1575,1
1576,0
1577,1
1578,1
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,1
1586,0
1587,0
1588,0
1589,1
1590,1
1591,0
1592,0
1593,0
1594,1
1595,0
1596,0
1597,1
1598,0
1599,0
1600,0
1601,0
1602,1
1603,1
1604,1
1605,0
1606,1
1607,0
1608,1
1609,0
1610,1
1611,0
1612,0
1613,0
1614,0
1615,1
1616,0
1617,1
1618,0
1619,1
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,1
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,1
1639,0
1640,0
1641,0
1642,1
1643,1
1644,1
1645,1
1646,0
1647,1
1648,0
1649,0
1650,0
1651,0
1652,1
1653,0
1654,1
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,1
1663,1
1664,0
1665,0
1666,0
1667,0
1668,1
1669,0
1670,0
1671,0
1672,1
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,0
1680,1
1681,1
1682,0
1683,0
1684,1
1685,1
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,1
1693,0
1694,1
1695,0
1696,0
1697,1
1698,0
1699,1
1700,1
1701,0
1702,0
1703,0
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,1
1711,1
1712,0
1713,0
1714,1
1715,1
1716,1
1717,0
1718,0
1719,0
1720,1
1721,0
1722,0
1723,1
1724,0
1725,0
1726,1
1727,0
1728,1
1729,0
1730,0
1731,1
1732,0
1733,0
1734,1
1735,0
1736,1
1737,1
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,1
1745,1
1746,0
1747,0
1748,0
1749,0
1750,1
1751,0
1752,0
1753,0
1754,1
1755,1
1756,1
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,1
1766,0
1767,1
1768,0
1769,0
1770,0
1771,1
1772,0
1773,0
1774,1
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,1
1786,0
1787,0
1788,0
1789,1
1790,0
1791,1
1792,0
1793,0
1794,1
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,1
1803,0
1804,1
1805,0
1806,0
1807,1
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,1
1817,0
1818,0
1819,0
1820,0
1821,0
1822,1
1823,0
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,1
1836,0
1837,1
1838,0
1839,1
1840,1
1841,1
1842,0
1843,1
1844,1
1845,1
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,1
1859,1
1860,0
1861,0
1862,0
1863,0
1864,0
1865,1
1866,1
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,1
1880,1
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,1
1888,1
1889,0
1890,0
1891,0
1892,1
1893,1
1894,0
1895,1
1896,1
1897,0
1898,0
1899,1
1900,0
1901,0
1902,0
1903,1
1904,0
1905,0
1906,0
1907,1
1908,0
1909,0
1910,0
1911,0
1912,1
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,1
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,1
1946,0
1947,1
1948,0
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,1
1963,0
1964,1
1965,1
1966,1
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,1
1978,1
1979,0
1980,0
1981,1
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,1
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,0
1997,1
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,1
2008,0
2009,0
2010,0
2011,1
2012,1
2013,1
2014,1
2015,0
2016,0
2017,0
2018,1
2019,1
2020,0
2021,1
2022,0
2023,0
2024,0
2025,1
2026,0
2027,1
2028,1
2029,0
2030,0
2031,0
2032,0
2033,1
2034,1
2035,0
2036,0
2037,1
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,1
2050,0
2051,0
2052,1
2053,0
2054,0
2055,0
2056,1
2057,1
2058,0
2059,0
2060,0
2061,1
2062,1
2063,0
2064,0
2065,1
2066,0
2067,1
2068,0
2069,1
2070,1
2071,0
2072,1
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,1
2081,0
2082,1
2083,0
2084,1
2085,0
2086,1
2087,1
2088,1
2089,0
2090,0
2091,1
2092,0
2093,0
2094,0
2095,0
2096,0
2097,1
2098,1
2099,0
2100,0
2101,0
2102,1
2103,1
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,1
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,1
2125,0
2126,0
2127,0
2128,0
2129,1
2130,1
2131,0
2132,0
2133,1
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,1
2144,0
2145,1
2146,0
2147,0
2148,0
2149,1
2150,0
2151,1
2152,0
2153,0
2154,0
2155,0
2156,1
2157,0
2158,0
2159,1
2160,0
2161,0
2162,1
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,1
2171,1
2172,0
2173,1
2174,0
2175,0
2176,0
2177,0
2178,0
2179,1
2180,0
2181,0
2182,1
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,1
2190,1
2191,1
2192,0
2193,0
2194,1
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,1
2202,0
2203,0
2204,1
2205,1
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,1
2213,1
2214,1
2215,0
2216,1
2217,0
2218,1
2219,0
2220,0
2221,1
2222,0
2223,1
2224,0
2225,0
2226,0
2227,0
2228,1
2229,0
2230,1
2231,0
2232,0
2233,0
2234,1
2235,0
2236,0
2237,1
2238,1
2239,0
2240,0
2241,0
2242,0
2243,1
2244,0
2245,1
2246,1
2247,0
2248,0
2249,0
2250,1
2251,1
2252,0
2253,1
2254,0
2255,1
2256,0
2257,0
2258,0
2259,1
2260,1
2261,0
2262,0
2263,1
2264,0
2265,0
2266,0
2267,1
2268,1
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,1
2279,0
2280,1
2281,1
2282,0
2283,0
2284,0
2285,1
2286,1
2287,0
2288,0
2289,1
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,1
2299,0
2300,0
2301,0
2302,0
2303,1
2304,1
2305,0
2306,1
2307,1
2308,0
2309,0
2310,0
2311,1
2312,0
2313,1
2314,1
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,1
2324,0
2325,1
2326,1
2327,0
2328,0
2329,0
2330,0
2331,0
2332,1
2333,0
2334,0
2335,0
2336,1
2337,0
2338,0
2339,0
2340,0
2341,1
2342,0
2343,0
2344,0
2345,0
2346,1
2347,1
2348,1
2349,0
2350,1
2351,0
2352,0
2353,1
2354,0
2355,0
2356,1
2357,0
2358,0
2359,0
2360,1
2361,0
2362,0
2363,0
2364,1
2365,0
2366,0
2367,0
2368,0
2369,1
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,1
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,1
2390,1
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,1
2398,1
2399,0
2400,1
2401,0
2402,1
2403,0
2404,1
2405,0
2406,0
2407,1
2408,0
2409,1
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,1
2418,0
2419,1
2420,0
2421,0
2422,0
2423,1
2424,0
2425,0
2426,0
2427,1
2428,1
2429,0
2430,0
2431,1
2432,1
2433,0
2434,0
2435,0
2436,0
2437,1
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,1
2446,0
2447,1
2448,0
2449,0
2450,1
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,1
2464,0
2465,0
2466,1
2467,0
2468,0
2469,1
2470,0
2471,0
2472,1
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,1
2483,1
2484,0
2485,1
2486,1
2487,0
2488,0
2489,0
2490,0
2491,0
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,0
2500,1
2501,0
2502,1
2503,1
2504,0
2505,0
2506,0
2507,1
2508,0
2509,0
2510,0
2511,0
2512,1
2513,0
2514,0
2515,1
2516,1
2517,0
2518,0
2519,0
2520,0
2521,1
2522,0
2523,1
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,1
2535,1
2536,1
2537,0
2538,1
2539,0
2540,1
2541,0
2542,0
2543,1
2544,0
2545,0
2546,0
2547,0
2548,1
2549,0
2550,0
2551,1
2552,1
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,1
2560,1
2561,1
2562,0
2563,1
2564,1
2565,1
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,1
2576,0
2577,0
2578,0
2579,0
2580,1
2581,0
2582,1
2583,0
2584,0
2585,0
2586,1
2587,0
2588,0
2589,1
2590,0
2591,0
2592,0
2593,0
2594,1
2595,1
2596,1
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,1
2604,0
2605,0
2606,1
2607,1
2608,0
2609,0
2610,0
2611,1
2612,0
2613,1
2614,1
2615,1
2616,0
2617,0
2618,0
2619,0
2620,0
2621,1
2622,1
2623,0
2624,1
2625,0
2626,0
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,0
2636,0
2637,0
2638,0
2639,1
2640,0
2641,0
2642,0
2643,0
2644,1
2645,0
2646,1
2647,0
2648,1
2649,0
2650,0
2651,0
2652,0
2653,1
2654,0
2655,0
2656,1
2657,0
2658,1
2659,1
2660,0
2661,0
2662,0
2663,0
2664,1
2665,0
2666,0
2667,0
2668,1
2669,0
2670,1
2671,1
2672,1
2673,1
2674,0
2675,0
2676,0
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,1
2684,1
2685,0
2686,1
2687,0
2688,0
2689,1
2690,0
2691,1
2692,0
2693,0
2694,0
2695,0
2696,1
2697,1
2698,1
2699,1
2700,0
2701,0
2702,0
2703,1
2704,0
2705,1
2706,0
2707,0
2708,0
2709,1
2710,1
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,0
2721,1
2722,1
2723,0
2724,1
2725,0
2726,0
2727,0
2728,0
2729,1
2730,0
2731,0
2732,0
2733,0
2734,1
2735,1
2736,0
2737,1
2738,0
2739,0
2740,0
2741,1
2742,0
2743,0
2744,1
2745,1
2746,0
2747,0
2748,0
2749,1
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,0
2759,1
2760,0
2761,0
2762,1
2763,0
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,0
2771,1
2772,0
2773,1
2774,1
2775,0
2776,0
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,1
2788,0
2789,0
2790,0
2791,0
2792,0
2793,0
2794,0
2795,0
2796,0
2797,0
2798,1
2799,0
2800,0
2801,0
2802,1
2803,0
2804,0
2805,1
2806,0
2807,0
2808,0
2809,0
2810,1
2811,0
2812,0
2813,0
2814,0
2815,1
2816,0
2817,0
2818,0
2819,1
2820,1
2821,0
2822,0
2823,1
2824,0
2825,0
2826,0
2827,1
2828,0
2829,0
2830,1
2831,0
2832,0
2833,0
2834,0
2835,0
2836,0
2837,0
2838,1
2839,0
2840,0
2841,0
2842,0
2843,0
2844,0
2845,1
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,1
2854,0
2855,0
2856,1
2857,0
2858,0
2859,1
2860,1
2861,0
2862,0
2863,0
2864,1
2865,0
2866,1
2867,0
2868,0
2869,0
2870,0
2871,1
2872,1
2873,0
2874,0
2875,0
2876,0
2877,1
2878,0
2879,1
2880,0
2881,1
2882,1
2883,0
2884,1
2885,0
2886,0
2887,0
2888,0
2889,0
2890,0
2891,0
2892,1
2893,0
2894,0
2895,1
2896,1
2897,0
2898,0
2899,0
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,1
2909,0
2910,1
2911,1
2912,0
2913,0
2914,0
2915,1
2916,0
2917,0
2918,0
2919,0
2920,0
2921,0
2922,0
2923,0
2924,1
2925,0
2926,1
2927,1
2928,0
2929,0
2930,0
2931,1
2932,0
2933,0
2934,1
2935,0
2936,1
2937,0
2938,1
2939,0
2940,0
2941,0
2942,0
2943,0
2944,0
2945,1
2946,1
2947,0
2948,0
2949,0
2950,0
2951,1
2952,0
2953,0
2954,0
2955,0
2956,0
2957,1
2958,1
2959,1
2960,1
2961,1
2962,0
2963,0
2964,0
2965,0
2966,1
2967,0
2968,0
2969,1
2970,0
2971,1
2972,1
2973,0
2974,0
2975,1
2976,0
2977,1
2978,0
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,1
2987,1
2988,1
2989,0
2990,0
2991,1
2992,0
2993,0
2994,0
2995,0
2996,0
2997,0
